tam|threads|block|diff_avg|diff_std|elapsed_avg|elapsed_std|miss_avg
20000|-|-|0.065|0.003|1.12|0.025|-
20000|1|1024|0.063|0.001|1.22|0.001|68,600000
20000|2|1024|0.066|0.002|0.68|0.002|65,850000
20000|4|1024|0.067|0.001|0.50|0.001|64,850000
20000|8|1024|0.066|0.001|0.39|0.001|64,000000
20000|12|1024|0.067|0.001|0.34|0.001|63,100000
40000|-|-|0.195|0.008|4.47|0.072|-
40000|1|1024|0.193|0.004|4.90|0.009|69,000000
40000|2|1024|0.196|0.002|2.64|0.005|66,400000
40000|4|1024|0.195|0.002|1.87|0.003|65,950000
40000|8|1024|0.194|0.002|1.43|0.030|64,900000
40000|12|1024|0.195|0.002|1.21|0.005|64,050000
60000|-|-|0.370|0.011|9.86|0.103|-
60000|1|1024|0.375|0.003|11.03|0.018|68,900000
60000|2|1024|0.378|0.003|5.86|0.010|66,000000
60000|4|1024|0.377|0.004|4.11|0.015|65,100000
60000|8|1024|0.377|0.003|3.10|0.060|64,250000
60000|12|1024|0.379|0.003|2.58|0.024|63,250000
80000|-|-|0.858|0.005|17.86|0.097|-
80000|1|1024|0.887|0.005|19.75|0.026|66,950000
80000|2|1024|0.893|0.007|10.55|0.022|65,350000
80000|4|1024|0.888|0.006|7.47|0.012|64,550000
80000|8|1024|0.897|0.006|5.61|0.035|64,000000
80000|12|1024|0.900|0.006|4.73|0.011|63,000000
100000|-|-|1.140|0.003|27.66|0.127|-
100000|1|1024|1.199|0.012|30.73|0.056|68,000000
100000|2|1024|1.214|0.010|16.28|0.025|66,050000
100000|4|1024|1.205|0.005|11.46|0.016|65,100000
100000|8|1024|1.205|0.007|8.50|0.059|64,100000
100000|12|1024|1.214|0.009|7.06|0.025|63,350000
